country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
France,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Argentina,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Czech Republic,6.505,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Uruguay,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Colombia,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Thailand,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Saudi Arabia,6.411,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Spain,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Malta,6.302,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Taiwan,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Kuwait,6.295,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Suriname,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Trinidad and Tobago,6.168,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
El Salvador,6.13,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Guatemala,6.123,0.74553,1.04356,0.64425,0.57733,0.09472,0.27489,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Uzbekistan,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Slovakia,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
